Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées
"Stockholm, concours d'urbanisation",,,,,,Stockholm,,Suisse,[1930],,,Concours international d'urbanisme.,"Tschumi, Jean",Architecte,0060.02.0033 ; 0060.01.0115 ; 0060.04.0266,
"Concours de projets pour maisons familiales économiques, en banlieue",,,,,,,,,[1935],1935,National,"Organisé par l'Union suisse pour l'amélioration du logement, en collaboration avec la Commission suisse pour la protection de la famille. Concerne tout le territoire suisse. Pas d'indication de composition du jury  ni de dates d'ouverture et de rendu dans le BTSR",,,,
"Hôpital Cantonal de Zurich, concours",Hôpital cantonal,Bleulerstrasse ,Lenggstrasse,,,Zurich-Burghölzli,,Zurich,[1946],,,"Motto 46973. Il s'agit d'un concours d'idées pour l'hôpital cantonal et universitaire de Zurich, sur un terrain en forte pente au voisinage de la clinique du Burghözli. Finalement l'hôpital se fera à la Rämistrasse. Ce terrain en périphérie implique le besoin de construire des logements pour le personnel (proposition pavillonnaire); groupement en peigne des unités de soins. Programme complexe.","Tschumi, Jean",Architecte,0060.04.0137,
Concours Ecole Vie,Enseignement et recherche,,,,,,,Suisse,[1965],[1970],,"Projet d'une école intitulé ""Vie"". Sur une trame orthogonale, les différentes unités sont disposées en croix.  Sur un socle de deux niveaux avec les espaces communs, préaux et galeries, trois bâtiments de deux niveaux accueillant les chambres.;Sans date ni localisation.","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0345,
"Concours Centre international, à Vienne",Administration,,,,,Vienne,,Autriche,[1970],[1980],,"Concours pour un centre administratif international accueillant des agences de l'ONU. Parti exprimé dans les documents: un grand vaisseau amarré dans un plan d'eau entouré de verdure. Sur un socle de deux à trois niveaux couvrant tout la surface rectangulaire occupée par le centre, six tours allant jusqu'à quarante étages dont la silhouette suit la forme d'une voile latine,  une série de bâtiments allongés côte à côte comportant jusqu'à 10 niveaux ainsi qu'au centre de l'ensemble, un bâtiment de deux niveaux sur sur deux grand piliers reliés à l'une des tours par une passerelle.;;Selon M. Orizet, le pan incliné des bâtiments permettait de faire ruisseler de l'eau et de gérer ainsi les questions thermiques. (rafaîchissement)","Gaillard, André",Architecte,0143.04.0375,
"Concours sur invitation pour l'achèvement du quartier ch. du Pont-de-Ville, ch. de la Fontaine, Seymaz, à Chêne-Bougeries",Habitation plurifamiliale,"Fontaine, ch. de la","Chêne-Bougeries, rue de",,,Chêne-Bougeries,,Genève,[1985],[1995],,"Concours pour l'aménagement de parcelles situées directement sur la Seymaz, sur la rue de Chêne-Bougeries, en amont du Pont de la Seymaz. Le projet du bureau Gaillard est nommé ""sCHeymaz ... à suivre"". Le principe de base en est la construction en deux étapes d'un immeuble, avec galerie commerciale et artisanale sur deux niveaux, ainsi que huit niveaux de logements: appartements traversants principalement de 5 et 6 pièces, sur un niveau ou en duplex.","Gaillard, André;Orizet, Gabriel;Gaillard, Philippe;Fondation communale pour l'aménagement de Chêne-Bougeries",Architecte;Architecte;Architecte;Maître d'ouvrage,0143.04.0419,
"Concours d'idées pour l'aménagement des terrains des Services Industriels, à Genève",Urbanisme,"Saint-Georges, bvd. de","Stand, rue du",,,Genève,,Genève,[1990],[1995],,"Projet dénommé ""La Traverse"". Axes principaux du projet:  création d'un itinéraire de liaison (piétonnier) entre le Rhône et le quartier de Carl-Vogt; dégagement des vues latérales sur l'espace vert que constitue le cimetière de Plainpalais; supression de la circulation automobile dans le périmètre; création d'une école à l'écart des nuisances urbaines, avec création d'un espace vert accentué par des toitures végétalisées. Concrétement: trois immeubles parallèles au bvd. Saint-Georges accueillant principalement des logements, mais également quelques surfaces administratives et commerciales. Une école au centre du terrain: trois bâtiments parallèles reliès par une construction transversale.","Gaillard, André;Services Industriels Genevois",Architecte;Maître d'ouvrage,0143.04.0405,
"Concours pour le groupe scolaire primaire du quartier du Bourg, à Fribourg, jugement",,,,,,Fribourg,,Suisse,01.02.1911,,,Rapport du jury BTSR 1911 p.57 et 67. Douze projets reçus.  1er prix 1'500.-  2e prix 850.-;3e prix 650.-,"Andrey, Alphonse;Troller, Joseph +;Dumas +;Spielmann, Rodolphe",1er  prix;1er  prix;3e prix;1er  prix,,
Concours pour la reconstruction de la ville de Chauny,,,,,,Chauny,,,01.02.1919,1919,,Article BTSR 1920 p.279 avec description du programme ,Jaussely,"Juré, rapporteur",,
Concours pour un centre touristique à Montreux,,Grande Rue,"Marché, place du",,,Montreux,,Vaud,01.02.1945,30.06.1945,,"Ouvert par le Conseil administratif de la Ville entre les architectes suisses domiciliés dans le canton depuis le 1.2.1944. Plusieurs architectes ayant ""collaboré à l'étude d'assainissement technique de la station touristique de Montreux, dont un domicilié hors du canton, ont été spécialement invités à participer au concours par les municipalités"". L'architecte ""domicilié hors canton"" est Fernand Decker à Neuchâtel","Bernoulli, Hans;Hoechel, Arnold;Jaquet, Ed","Juré;2e prix;Juré, président",,
