Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées
Concours pour le temple de la Servette,Religion,,,,,Genève,,Suisse,1964,1965,,"Projet dénommé ""Vie"". ;Les documents étaient conditionnés originalement en deux rouleaux: l'un portait l'inscription ""Concours Temple de la Servette, 1966"" et l'autre ""Concours Centre oecuménique à Chêne-Bourg"". ;Il semble que ce projet concerne plutôt le temple de la Servette. ;La base de données ""SIA concours"" qui indique pour le concours du Temple de la Servette les années 1964-1965.;La construction prévue comporte deux unités: un sanctuaire A au rez avec chapelle, salle annexe, sacristie, vestiaire; un sanctuaire B, avec salle polyvalente, vestiaire. Le sanctuaire B est disposé en surplomb au dessus du parvis. Deux types d'ouvertures dans les parois: allongées et étroites en meurtrières, ainsi qu'en bandeau en dessous de la couverture. Couverture plate végétalisée, dont la dalle est incurvée sur deux côtés vers le haut.;","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0346,
"Concours pour un groupe scolaire à Chêne-Bourg, jugement",,Campagne de Haller,,,,Chêne-Bourg,,Genève,1964,,,Pas de rapport du jury ni de dates de délibérations (cinq séances au total) dans le BTSR.  Treize projets remis.  1er prix 6'000.-  2e prix 5'500.-  3e prix 5'000.-  4e prix 4'500.-  5e prix 3'000.-  6e prix 2'000.-,"Billaud, Charles &;Billaud, Eric &;Billaud, André &;Nierlé, Pierre;Malnati, V.-A;Moradpour, B &;Gaillard, Francis &;Gaillard, André &;Bouvier, F;Guth, Antoine",3e prix;3e prix;3e prix;2e prix;5e prix;6e prix;2e prix;2e prix;1er  prix;4e prix,,
Concours pour un ensemble paroissial catholique au Locle,,,,,,Le Locle,,Suisse,1964,11.1964,A. cantonal,"Concours de projets ouvert apparemment par la paroisse (quelle instance?) entre les architectes neuchâtelois. Pas d'indication de date de rendu, de conditions de participation ou de composition du jury dans le BTSR",,,,
Concours pour une école normale d'instituteurs à Porrentruy,,,,,,Porrentruy,,Suisse,1964,6.1964,,"Ouvert par la DTP du canton de Berne, probablement entre les architectes du canton de Berne. Pas d'indication de date d'ouverture ou de rendu, chercher dans SBZ","Türler, Heinrich;Brechbühl, Otto;Guéniat, Ed;Petermann, M;Hess, Heinz;Moine, U;Huber, H;Billeter, Maurice;Brugger, Frédéric","Juré;Juré;Juré;Juré;Juré;Juré;Juré;2e prix;Juré, suppléant",,
Projet Concours Mount Olympus: 3 résidences à Hollywood,Habitation individuelle,,,,,Hollywood,,USA,1964,,Invitation,Concours réservé aux full members de l'American Institute of Architects,"Guignard, François;Sartoris, Alberto;Vuilleumier, Roland;Assfalg, Gilbert;Sandoz, Paul",Architecte assistant;;Architecte assistant;Architecte assistant;Architecte assistant,0172.04.0200,
"Concours Marina (Uni 2), à Genève",Enseignement et recherche,,,,,Genève,,Suisse,1965,,,"Concours pour un bâtiment universitaire (Uni 2) accueillant principalement auditoires, laboratoires de recherches et les bureaux du rectorat. Le corps du bâtiment, de plan rectanguaire, est posé sur des piliers disposés en retrait par rapport à sa surface, créant un surplomb. Dix niveauX: trois sous-sols, rez inférieur et supérieur, quatre étage et un attique avec terrasses. Un patio dans chaque moitié du bâtiment, l'un au troisième et l'autre au quatrième étage.","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0340,
Concours pour l'école secondaire régionale à Colombier (Neuchâtel),,"Les Coutures, lieu-dit",,,,Colombier,,Neuchâtel,1965,9.1965,A. cantonal,"Ouvert par le comité du Centre secondaire intercommunal à Colombier (regroupant les communes d'Auvernier, Bevaix, Bôle, Boudry, Colombier et Cortaillod) entre les architectes neuchâtelois ou domiciliés ou établis dans le canton dès avant le le 1.1.1963. Pas d'indication de date d'ouverture ou de rendu dans le BTSR, extraits du règlement et du programme BTSR 1966 p.81","Waldvogel, Theodor;Wyss, Albert Ed;Ryf, Ernest;Lozeron, Arthur;Hess, Pierre;Martin, Ernest;Billeter, Maurice;Mouchet, Jean-Pierre;Strohhecker, René","Juré, suppléant;Juré;Juré;Mention spéciale;Juré;Juré;2e prix;Juré, suppléant;Juré, président",,
"Concours pour l'Institut de Sainte-Croix, La Tour-de-Trême, jugement",,,,,,La Tour-de-Trême,,Suisse,1965,,,"Pas d'extrait de rapport du jury ni d'indication du nombre de projets remis, de dates de délibération ou de montant des primes dans le BTSR","Maillard, Michel &;Pasquier, Bernard &;Baudère, Roger;Bachmann, Hans;Waeber, Marcel","3e prix;3e prix;2e prix;7e prix;Invité, non primé",,
"Concours pour un Centre professionnel, à Genève",Enseignement et recherche,"Jonction, av. de la",,,,Genève,,Genève,1965,1965,,"Concours pour un centre de formation professionnel. Projet nommé ""Forum"". Immeuble de plan circulaire constitué d'un socle de trois niveaux (rez inférieur, supérieur) avec cour intérieure couverte, sur lequel est posé un bâtiment en anneau de quatre niveaux posé sur des piliers au niveau de l'entresol. Le plan circulaire est divisé en parts dédiés à chaque corps de métier impliqué.;Le site est l'extrême pointe de la Jonction.","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0337,
Concours pour un centre scolaire à Lucens,,,,,,Lucens,,Vaud,1965,1966,,"Pas d'indication de dates d'ouverture ou de rendu, de MO, de conditions de participation, de composition du jury dans le BTSR",,,,
"Concours des Projets pour la construction d'une Piscine, à Prilly","Sport,  loisirs et hygiène",,,,,Prilly,,Suisse,1966,1967,,,"Di Clemente, Lucio;Société Coopérative de la Piscine de Prilly",;,0070.04.0033 ; 0070.03.0001,
Concours pour le bâtiment du personnel de l'hôpital du district de Martigny,,,,,,Martigny,,Suisse,1966,1967,A. district,"Pas d'autre indication d'ouverture dans le BTSR (MO, jury,dates...)",,,,
Concours pour le centre paroissial Saint-Joseph à Delémont,,,,,,Delémont,,Suisse,1966,1966,,"Pas d'indication de dates d'ouverture ou de rendu, de MO, de conditions de participation ni de composition du jury dans le BTSR",,,,
"Concours pour le centre paroissial Saint-Joseph à Delémont, jugement",,,,,,Delémont,,Suisse,1966,,,Pas de date de délibération dans le BTSR. Trente-sept projets remis dans les délais.  1er prix 5'500.-  2e prix 2'000.-  3e prix 3'500.-  1er achat 3'000.-  2e achat 2'000.-,"Brahier, A +;Bouvier, F",2e prix;1er  prix,,
Concours pour le gymnase cantonal de La Chaux-de-Fonds,,Bois Noir,,,,La Chaux-de-Fonds,,Neuchâtel,1966,1966,,"Pas d'indication de composition du jury, de dates d'ouverture ou de rendu dans le BTSR, chercher notamment dans Werk",,,,
"Concours pour le gymnase cantonal de La Chaux-de-Fonds, jugement",,Bois-Noir,,,,La Chaux-de-Fonds,,Neuchâtel,1966,,,"Pas d'indication de dates de délibération ni de résultats dans le BTSR. Voir l'article de Jean-Pierre Lavizzari, auteur du bâtiment réalisé et probable lauréat du concours avec Guidetti et Boever, BTSR 1973 p.31","Boever, Jean-Albert +;Lavizzari, Jean-Pierre +;Guidetti, Raymond +",9e prix;2e prix;2e prix,,
concours pour le gymnase cantonal de La Chaux-de-Fonds: projet Sophie,Enseignement et recherche : école,,,,2300,La Chaux-de-Fonds,,Suisse,1966,,,,"Morisod, Paul;Furrer, Edouard &",Architecte;Architecte,0076.04.0124,
"Concours pour le Nouveau Gymnase cantonal des Montagnes, à La Chaux-de-Fonds",Enseignement et recherche,,,,,La Chaux-de-Fonds,,Suisse,1966,2.1967,,"Le projet André Gaillard remporte le 3e prix d'un montant de 7000.- francs.;Publié dans Werk 2/1967, p. 109;;Pas de dossier dans les archives.","Gaillard, André",Architecte,,
"Concours pour transformations Hôtel Alpha-Palmiers, Lausanne",Transformation,,,,1003,Lausanne,,Vaud,1966,1990,,,"Dahinden, Justus;Mangeat, Vincent;Alberti, Jacques",;;,0184.04.0199,
"Concours pour un centre scolaire à Lucens, jugement",,,,,,Lucens,,Vaud,1966,,,"P=as d'indication de nombre de projets remis, de dates de délibération dans le BTSR.  1er prix 3'500.-  2e prix 3'300.-  3e prix 2'400.-  4e prix 2'400.-  5e prix 2'000.-  6e prix 1'600.-","Zürcher, Robert +;Righetti, G +;Guignard, Jean-Hippolyte;Boschetti, Fonso;Gut, Marcel &;Richter, Max &;Danthe, J.-J;Collomb, Henri",2e prix;2e prix;3e prix;Juré;2e prix;2e prix;6e prix;3e prix,,
Concours pour une nouvelle clinique pédiatrique de l'Hôpital de l'Ile à Berne,,,,,,Bern,,Suisse,1966,6.1967,A. national,"Pas d'indication de MO, de dates d'ouvertures ou de rendu dans le BTSR, chercher dans SBZ","Camenzind, Alberto;Türler, Heinrich;Gnägi, Albert;Lozeron, Arthur;Baur, Hermann;Steiger, Rudolf;Rossi, E;Schneider, E","Juré;Juré;Juré;Mention spéciale;Juré;Juré;Juré;Juré, président",,
"Jury du concours d'un centre communal, à Wetzikon",Administration publique,,,,,Wetzikon,,Zurich,1966,1970,,,"Schlup, Max",,0085.01.0046,
"Concours d'idées pour un centre civique, à Chêne-Bougeries",Urbanisme,"Chêne, rte de",,,,Chêne-Bougeries,,Genève,1967,1967,,"Projet nommé ""Pourquoi Pas"" . Groupe de bâtiments accueillant les institutions municipales: mairie, école enfantine, école primaire, salle de gym et locaux pour la jeunesse. L'ensemble de bâtiment est situé au centre d'un parc public avec aménagements pour les enfants. Le projet apporte des réflexions sur les circulations de quartier, les possibilités d'extension ainsi que sur les étapes de réalisation.","Gaillard, André;Commune de Chêne-Bougeries",Architecte;Maître d'ouvrage,0143.04.0353,
concours pour l'église catholique St. Etienne (la Sallaz)Lausanne: projet Adieu Berthe,Religion : église catholique,,,,1000,Lausanne,,Suisse,1967,28.06.1967,,"Morisod, Kyburz et Furrer obtiennent un achat.","Morisod, Paul;Furrer, Edouard &;Kyburz, Jean",Architecte;Architecte;Architecte,0076.04.0119,
Concours pour l'église protestante de Sion,,,,,,Sion,,Suisse,1967,1967,A. communal,Ouvert par la Paroisse protestante de Sion entre les architectes domiciliés ou établis dans la commune ou protestants établis dans le canton  (propriétaires d'un bureau) dès avant le 1.1.1965. Extraits du règlement et du programme BTSR 1968 p.13,"Grand, Pierre;Daxelhofer, Henry;Boley, Charles;Montmollin, Henri de;Mozer, Marc;Iten, Joseph;Fluckiger, Raymond;Martin, Ernest;Frey, Michel","Juré, suppléant;Achat;Juré;Juré;Juré;Juré, suppléant;Juré, suppléant;Juré;Juré, suppléant",,
"Concours pour l'église protestante de Sion, jugement",,,,,,Sion,,Suisse,1967,,,Extraits du rapport du jury BTSR 1968 p.17. Pas d'indication de dates de délibération. Dix-huit projets remis dans les délais.  1er prix 4'000.-  2e prix 3'500.-  3e prix 2'500.-  4e prix 2'000.-  Deux achats 1'000.-,"Morisod, Paul &;Suter, Jean;Furrer, Edouard &;Kyburz, Jean &;Michaud, A 2;Mallaun +;Brantschen +;Schlegel, Peter;Schmid, Pierre;Robyr, Hervé, coll.",3e prix;Juré;Architecte;1er  prix;3e prix;Achat;Achat;4e prix;5e prix;1er  prix,,
Concours pour l'intégration d'oeuvres d'art au collège secondaire de Nyon,,,,,,Nyon,,Suisse,1967,1967,Invitation,Ouvert au début 1967 par la Municipalité entre neuf artistes pour quatre catégories d'objets : a) bas-reliefs circulations  b) vitraux foyer aula  c)panneau décoratif aula d)sculpture cour,"Gloor, Eugène;Berger, René;Guignard, Jean-Hippolyte;Michaud, Alfred 2;Gerbex, Robert;Hausamann, Charles-Edouard;Ruey, Maurice;Favre, Fernand;Monnier, Jacques;Vuffray, Jean-Claude;Grand, Pierre","Juré;Juré;3e prix;Juré;Juré;Juré;Juré;Juré;Juré, président;5e prix;Juré, suppléant",,
"Concours pour l'intégration d'oeuvres d'art au collège secondaire de Nyon, jugement",,,,,,Nyon,,Suisse,1967,,,"Trois sessions. Pas d'extrait de rapport du jury, mais commentaire R. Berger BTSR 1968 p.147. Pas de montant des primes indiqués (peut-être attribution de mandats uniquement)","Lasserre, André;Bodjol, Walter;Gonet, Louis;Bergendi, Pierre-Noël;Luginbühl, Bernhard;Rouiller, Albert;Gigon, André;Müller, Frédéric;Chapallaz, Edouard",Sculpture;Vitraux;Non primé;Non primé;Non primé;Non primé;Non primé;Bas-relief;Panneau décor,,
Concours pour la future église catholique de Saint-Etienne (La Sallaz) à Lausanne,,,,,,Lausanne,,Suisse,1967,1967,,"Pas d'indication de MO, de mode d'ouverture (catholiques, cantonal, etc.) ni de dates d'ouverture ou de rendu dans le BTSR","Tami, Rino;Chardonnens, R;Baur, Hermann;Porret, Etienne;Ribaud, Jean-Pierre",Juré;Juré;Juré;Juré;Juré,,
"concours pour la paroisse protestante, Sion: projet Aglae",Religion : église et cure,,,,1950,Sion,,Suisse,1967,,Arch comm+prot. cant,"Concours lancé par la paroisse protestante de Sion, ouvert aux architectes domiciliés ou établis dans la commune ou protestants établis dans le canton avant le 1.1.1965.;Achat pour Morisod, Kyburz et Furrer.","Morisod, Paul;Furrer, Edouard &;Kyburz, Jean",Architecte;Architecte;Architecte,0076.04.0099,
"Concours pour le bâtiment du personnel de l'hôpital du district de Martigny, jugement",,,,,,Martigny,,Suisse,1967,,,Pas d'indication du nombre de projets remis dans le BTSR.  1er prix 5'000.-  2e prix 4'000.-  3e prix 3'000.- 4e prix 1'800.-  5e prix 1'200.-  6e prix 1'000.-,"Rouiller, P.-L &;Saudan, Pierre &;Zryd, Marius;Max, Gilbert;Damay, Bernard +;Coquoz, Raymond +;Delaloye, Jules +;Delaloye, Ami +;Darbellay, Jean-Paul",3e prix;3e prix;2e prix;4e prix;5e prix;3e prix;1er  prix;7e prix;Juré,,
"Concours pour le Pavillon suisse de l'Exposition universelle d'Osaka 1970, jugement",,,,,,Osaka,,,1967,,,"Pas d'extrait de rapport du jury dans le BTSR, chercher dans SBZ. Quatre-vingt-trois projets remis. Le classement des treize primés se fait en trois catégories, le seul projet de la 1ère étant recommandé pour l'exécution. Trois projets en 2ème catégorie (Katzenstein; Dahinden + coll.; Tinguely/Lunginbühl/ Ziegler).  Huit projets en 3ème catégorie (Otto + coll.; Brera/ Leman/Waltenspuhl + coll.; Müller-Brockmann + coll.; Winistoerfer + coll.; Lamunière + coll.; Vischer/Weber + coll.; ACAU + coll.; Scheidegger). Pas d'indication de montant des primes","Dahinden, Justus;Tinguely, Jean +;Luginbühl, Bernhard +;Ziegler, Maurice;Katzenstein, Ello;Weber, Georges +;Waltenspühl, Paul +;Winistoerfer, John W;Vischer, Florian +;Iten, Jean +;Otto, R. G;Lamunière, Jean-Marc;Müller-Brockmann & Cie;Baud-Bovy, Manuel +;Leman, Andrzej Jerzy +;Brera, Georges +;Scheidegger, Ernst, SA;Dellenbach, J. P +;Iten, Nadine +;Rey, Michel +;Gaulis, R +;Walter, Willi;Schmid, Charlotte +;Leber, Paul +",;2e catégorie;2e catégorie;2e catégorie;2e catégorie;3e catégorie;5e prix;3e catégorie;3e catégorie;9e prix;3e catégorie;3e catégorie;3e catégorie;4e prix;3e catégorie;5e prix;3e catégorie;9e prix;4e prix;4e prix;9e prix;1ère catégorie;1ère catégorie;1ère catégorie,,
Concours pour une piscine à Prilly,,,,,,Prilly,,Vaud,1967,6.1967,A. cantonal,Extraits du règlement-programme BTSR 1968 p.149. Ouvert par la Société coopérative de la piscine de Prilly entre les architectes vaudois ou domiciliés ou établis dans le canton. Pas d'indication de dates d'ouverture ou de rendu,"Maillard, Marcel;Baier, William;Lozeron, Arthur;Mermoud, Paul;Favre, Jacques;Zollinger, Jean-Pierre;Monod, Henri","Juré;Juré;Mention spéciale;Juré;Juré;Juré, suppléant;Juré, suppléant",,
"Concours Collège secondaire, au Locle",Enseignement et recherche,"Hôtel-de-Ville, av. de l'","Technicum, av. du","Jehan-Droz, rue",,Le Locle,Neuchâtel,Suisse,1968,1969,,"Projet nommé ""Forum"". Socle de trois niveaux en T sur lequel vient se poser un quatrième niveau de plan carré. Conçu pour accueillir 15 classes.;Selon la base de données Concours SIA, ce projet a obtenu le 2e prix. (5500.-);Ce projet voisine avec le collège des Jeannerets, réalisé antérieurement par André Gaillard.;","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0350,
"Concours pour le centre paroissial de Riddes, jugement",,,,,,Riddes,,Suisse,1968,,,Pas d'extrait de rapport du jury ni de dates de délibération dans le BTSR. Trente-six projets remis.  1er prix 5'000.-  2e prix 3'500.-  3e prix 3'000.-  4e prix 2'500.-  Deux achats. Fonso Boschetti fait probablement partie des quatre architectes invités,"Wenger, Peter &;Wenger, Heidi &;Attinger, Bernard;Lorenz, Paul;Boschetti, Fonso;Morisod, Paul &;Furrer, Edouard &;Kyburz, Jean &;Furrer, Xavier &;Jeiziner, Willy &","3e prix;3e prix;Juré, président;5e prix;Juré;3e prix;Architecte;1er  prix;1er  prix;1er  prix",,
Concours pour le groupe scolaire des Bergières,,"Bergières, avenue des",,,,Lausanne,,Vaud,1968,1.1969,A. cantonal,Concours d'idées ouvert par la Municipalité probablement au niveau cantonal. Le jury continue à fonctionner comme commission d'experts pour juger les quatre avant-projets développés sous forme de mandat à partir des projets classés aux quatre premiers rangs (sur huit prix et deux achats),"Camenzind, Alberto;Maillard, Marcel;Meuwly, Bernard;Grosgurin, Claude;Hentsch, Henry;Michaud, Georges;Gfeller, Roger;Petignat, Jean;Porret, Etienne;Aubert, Paul 2;Jaccottet, Georges;Waldvogel, Theodor","Juré;Juré;Juré;Juré;Juré;Juré;Juré;Expert;Juré;Juré;Juré, président;Juré, suppléant",,
Concours pour le nouveau Musée d'horlogerie de la ville de La Chaux-de-Fonds,,,,,,La Chaux-de-Fonds,,Suisse,1968,1968,,"Pas d'indication de MO, de conditions de participation (concours national?), de dates d'ouverture ou de rendu ni de composition du jury",,,,
Concours pour le pont sur la Bahyse de l'autoroute du Léman (N9),,,,,,Cully,,Vaud,1968,1.1969,,"""Concours de projets par appel"" ouvert par le Bureau de construction des autoroutes en été 68, pas d'indication de composition du jury dans le BTSR",,,,
Concours pour un collège secondaire au Locle,,,,,,Le Locle,,Suisse,1968,1968,,"Pas d'autre indication (MO, conditions de participation, dates, composition du jury,...) dans le BTSR",,,,
"Jury du concours sur sélection pour une école à Kleinfeld, à Lengnau",Ecole,,,,,Langnau,,Suisse,1968,1969,,,"Schlup, Max",,0085.01.0044,
Concours d'idées pour l'Ecole polytechnique fédérale de Lausanne,,,,,,Ecublens,,Suisse,1969,1970,Invitation,"Concours pour l'étude du plan directeur de l'EPFL entre sept groupes d'études constitués dans diverses villes suisses: Bâle, Zürich, Soleure, Berne, Lugano, Lausanne et Genève. Peu d'autre indication dans le BTSR (voir légende d'une illustration BTSR 1971 p.362, le plan directeur sera mis en place par le groupe EDUPLAN comprenant Zweifel & Strickler, METRON et Minikus & Witta comme ingénieurs), chercher dans Werk notamment",,,,
"Concours pour la reconstruction du siège de la Genevoise, à Genève",Bâtiment administratif,,,,,Genève,,Suisse,1969,,,,"Schlup, Max",,0085.01.0015,
"Concours pour le groupe scolaire des Bergières, jugement",,,,,,Lausanne,,Suisse,1969,,,Pas d'indication de résultats ni de nombre de projets remis ou de montant des primes dans le BTSR. Huit prix et deux achats attribués (à partir des projets classés aux quatre premiers rangs soit AAA/Piguet; Desarzens/Curchod/Heer/Yokoyama/Carroz/Kung; Lavizzari/Guidetti /Boever/Janin/Girard; Vouga/Lévy/Gonthier) des avant-projets sont développés. Le sytème CROCS est une condition du programme de ces avant-projets. Ceux-ci sont remis le 17 juin 1969 et Vouga/Lévy et Gonthier sont retenus pour le projet définitif,"Yokoyama, Masayumi;Vouga, Bernard +;Gonthier, Jean-Pierre;Atelier des Architectes associés;Boever, Jean-Albert +;Lavizzari, Jean-Pierre +;Janin, Bernard;Carroz, Jean-Pierre;Guidetti, Raymond +;Desarzens, Jean-Pierre;Girard, Tell;Curchod, Hubert, coll.;Kung, Willy;Heer, Catherine;Lévy, Marx +;Piguet, bureau technique",Retenu avant-projet;Retenu avant-projet;Retenu avant-projet;2e prix;9e prix;2e prix;Expert;Expert;2e prix;3e prix;Retenu avant-projet;Retenu avant-projet;Retenu avant-projet;Retenu avant-projet;Retenu avant-projet;1er  prix,,
Concours pour le pont sur la Chandelard (autoroute du Léman N9),,,,,,Lausanne,,Vaud,1969,1970,Invitation,"Concours de projet par appel ouvert en été 1969 par le DTP, Bureau de construction des autoroutes (la Chandelard est située à la limite des communes de Lausanne et Pully). Pas d'indication de composition du jury, de date d'ouverture ou de rendu dans le BTSR",,,,
"Concours pour le pont sur la Paudèze pour l'autoroute du Léman N9, jugement",,,,,,Pully,,Vaud,1969,6.197,,Concours de projets par appel ouvert par le DTP représenté par le Bureau de construction des autoroutes (franchissement du vallon de la Paudèze à la limite des communes de Pully et Belmont). Pas d'indication BTSR de composition du jury ni d'autres équipes primées ou de nombre de projets remis,"Hofer, Roland;Tappy, Maurice, coll.;Plumettaz, E;Blülle, E, coll.;Favre, R;Cascalès, F;Piguet, bureau technique;Beylouné, Roland",1er  prix;1er  prix;1er  prix;1er  prix;1er  prix;1er  prix;1er  prix;Juré,,
Concours-soumission pour des halles à usages multiples sur les places d'armes,,,,,,,,,1969,,National,Ouvert par la Direction des constructions fédérales. 74 participants de toute la Suisse,"Grosgurin, Claude",Juré,,
"Concours-soumission pour des halles à usages multiples sur les places d'armes, jugement",,,,,,,,,1969,,,"74 participants de toute la Suisse. En 1970, une halle sur ce modèle est construiteà proximité de la caserne de La Poya à Fribourg contenant notamment des salles de gymnatique (voir BTSR 1971 p.363). Pas d'autre indication dans le BTSR","Meuli, R;Fabro, E",1er  prix;1er  prix,,
"Jury du concours pour un centre sportif, à Zollikon","Sport,  loisirs et hygiène",,,,,Zollikon,,Zurich,1969,,,,"Schlup, Max",,0085.01.0045,
"Concours d'idées pour l'aménagement du quartier de la Planta, à Sion",,"Planta, la",,,,Sion,,Valais,1970,3.1971,,"Pas d'indication BTSR du maître de l'ouvrage, de dates d'ouverture ou de rendu ni de conditions de participation. Voir aussi BTSR 1971 p.479","Veuve, Léopold;Zimmermann, Charles;Quinodoz, Jean;Allet, J;Carloni, Tita;Custer, W;Keller, Olivier;Magnin, Gabriel;Roten, N;Guntern, Josef;Crettol;Panchard, R;Bornet, André;Iten, Joseph;von Roten, E","Juré;Juré;Juré;Juré;3e prix;Expert;Expert;Juré;Expert;Juré;Expert;Expert;6e prix;Juré, suppléant;Juré, président",,
Concours de projets pour la nouvelle Ecole secondaire de Naters,,,,,,Naters,,Suisse,1970,1.1971,A. cantonal,"Pas d'indication de MO, de dates d'ouverture ou de rendu dans le BTSR","Gnägi, Albert;Biderbost, Paul;Jossen, Stefan;Anderegg, Ernst;Eyer, Julius;Guntern, Josef;Zenhäusern, Oswald;Zenklusen, Stefan;Iten, Joseph;Salzmann, Edmund;Zimmermann, Charles;Brugger, Frédéric","Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré, suppléant;Juré, suppléant;Juré, suppléant;Juré;Juré, suppléant",,
Concours de projets pour le centre scolaire de Salvan,,,,,,Salvan,,Suisse,1970,6.1971,Invitation,"Pas d'indication BTSR du maître de l'ouvrage, de conditions de participation (aparremment invitation de huit concurrents, dont seulement cinq remettent un projet), de dates d'ouverture ou de rendu","Zimmermann, Charles;Tschumi, Alain-G;Revaz, Ulrich;Perraudin, André;Fiora, Jean;Claivaz, Fränky;Décaillet, René","Juré;Juré;Juré;3e prix;Juré;Juré, suppléant;Juré, suppléant",,
Concours de projets pour le centre scolaire de Verbier,,,,,,Bagnes,,Suisse,1970,1.1971,A. cantonal,"Pas d'indication de MO, de conditions de participation (probablement architectes du canton) ni de dates d'ouverture ou de rendu dans le BTSR","Ferrez, Willy;Besse, Roger;Anderegg, Ernst;Wenger, Heidi;Pellissier, Gabriel;Nicollier, Gaston;Iten, Joseph;Fellay, Gaston;Zimmermann, Charles","Juré;Juré;Juré;Juré;Juré, suppléant;Juré, suppléant;Juré, suppléant;Juré, suppléant;Juré",,
"Concours Ecole du Belvédère, à Chêne-Bougeries",Enseignement et recherche,"Montagne, ch. de la","Castan, ch.",,,Chêne-Bougeries,,Genève,1970,1970,,"Projet d'établissement scolaire sur quatre niveaux (un sous-sol, un rez et deux étages). Les différentes unités et volumes sont réparties de manière irrégulière sur une trame orthogonale, privilégiant en façade les avancements et redans comme les variations de hauteurs en volume. Outre l'équipement standard (dont logement concierge), salle de spectacle au sous-sol et piscine au rez.","Gaillard, André;Gaillard, Francis",Architecte;Architecte,0143.04.0354,
concours pour l'école secondaire de Naters: projet Flexibel,Enseignement et recherche : école secondaire,,,,3904,Naters,,Suisse,1970,05.03.1971,Arch canton,Morisod et Furrer remportent le 1er prix.,"Morisod, Paul;Furrer, Edouard &",Architecte;Architecte,0076.04.0147,
"Concours pour la fortification de campagne, jugement",,,,,,,,,1970,,,"Bref compte-rendu BTSR 1970 p.350. Trente-huit projets remis. Pas d'indication de montant des primes. A part les projets classés et primés du 1er au 7e prix (tous préliminairement classés en 1ère catégorie, celle-ci regroupant neuf projets au total), on trouve deux autres catégories ""projets primés pour les bonnes idées qu'ils contiennent"" et ""projets dotés d'un prix de consolation""","Heierli, W, Dr.;Heierli, W &;Heierli, R &;Hiltebrand, H;Koeppel, Guido;Zemp, Elmar +;Perrin, Henri +;Salm, H +;Loewensberg, Gerold;Walder, Carl;Riedtmann, Felix +;Esser, Emanuel +",3e prix;3e prix;3e prix;2e prix;7e prix;4e prix;4e prix;4e prix;5e prix;6e prix;1er  prix;1er  prix,,
concours pour le centre scolaire de Verbier: projet Monzeur,Enseignement et recherche : appartement et écoles,,,,1936,Verbier,,Suisse,1970,05.03.1971,Arch canton,Morisod et Furrer obtiennent le 3ème prix.,"Morisod, Paul;Furrer, Edouard &",Architecte;Architecte,0076.04.0127,
Concours pour le centre scolaire et sportif de Saint-Aubin (FR),,,,,,Saint-Aubin,,Suisse,1970,1.1971,,"Pas d'indication de MO, de dates d'ouverture ou de rendu dans le BTSR","Zwimpfer, Hans;Imhof, Hermann;Bugna, Arthur;Perriard, Louis 2;Lateltin, Jean-Claude;Rossier, Paul;Guisolan, Georges;Matthey, Marcel;Pillonel, Alfred;Favre, Francis;Wuilloud, André;Pilloud, Charles;Waeber, Marcel","Juré;Juré;2e prix;Juré;5e prix;Juré;Juré;Juré;Juré;Juré;Expert;Expert;Invité, non primé",,
"Concours pour le pont de la Felsenau, tronçon Brünnen-Wankdorf de l'autoroute N1, à Berne",,,,,,Bern,,Suisse,1970,1971,Invitation,"Concours restreint ouvert par le DTP, Bureau de construction des autoroutes, en accord avec le Bureau fédéral des routes et des digues, apparemment entre sept buraux d'études. Pas d'indication de dates d'ouverture ou de rendu dans le BTSR. Le jury est en fait un ""groupe d'experts"" fonctionnant comme jury (classement des projets, attribution de primes)","von Gunten, H;Kollros, W;Schwaar, W;Ruckli, Robert;Kunz, U;Hugi, H;Badoux, Jean-Claude;Rey, Edmond",Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré,,
"Concours pour un centre scolaire secondaire, à Monthey",,,,,,Monthey,,Suisse,1970,1970,Invitation,Ouvert par la ville entre sept architectes. Pas d'indication de dates d'ouverture ou de rendu dans le BTSR,"Bugna, Arthur;Chappuis, Jean-Pierre;Boissard, Charles;Perraudin, André;Iten, Joseph;Zimmermann, Charles","2e prix;Juré;Juré;3e prix;Juré, suppléant;Juré",,
